Sqr Ft,Longitude,Latitude,Lot Size,Beds,Bath,Year Built,Days On Trulia,Zipcode,Days on Market,City_atlanta,City_aurora,City_baltimore,City_denver,City_fort wayne,City_jacksonville,City_los angeles,City_orlando,City_tampa,City_washington,State_ca,State_co,State_dc,State_fl,State_ga,State_in,State_md,day_of_week_listed_Friday,day_of_week_listed_Monday,day_of_week_listed_Saturday,day_of_week_listed_Sunday,day_of_week_listed_Thursday,day_of_week_listed_Tuesday,day_of_week_listed_Wednesday
3096,-82.532776,27.941618,11761.2,5.0,5.0,1964.0,110.0,33609.0,132,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2965,-81.35819,28.530573,11761.2,4.0,3.0,1961.0,180.0,32806.0,208,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1773,-81.25185,28.426268,3111.0,3.0,3.0,2012.0,59.0,32832.0,56,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1722,-81.23147,28.534021,9259.0,4.0,2.0,2002.0,5.0,32825.0,34,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2161,-81.72799,30.280228,11761.2,3.0,3.0,1942.0,45.0,32210.0,74,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1369,-81.282234,28.493809,6974.0,3.0,1.0,1960.0,50.0,32822.0,79,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3028,-81.444664,30.312199,13503.6,4.0,3.0,1997.0,39.0,32224.0,68,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1488,-81.190674,28.58659,6386.0,3.0,1.0,1959.0,2.0,32826.0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
927,-81.35548,28.557543,9621.0,2.0,1.0,1941.0,6.0,32803.0,38,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2556,-104.87533,39.662037,9480.0,4.0,3.0,1969.0,62.0,80231.0,94,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
836,-84.361786,33.69762,14810.4,2.0,1.0,1948.0,155.0,30315.0,187,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1408,-85.11526,41.13463,22215.6,3.0,2.0,1960.0,3.0,46825.0,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1600,-84.41386,33.707882,9962.0,3.0,3.0,1957.0,63.0,30310.0,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1929,-81.153946,28.559708,5792.0,4.0,2.0,2006.0,120.0,32828.0,153,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2344,-104.889694,39.795242,3712.0,3.0,4.0,2015.0,49.0,80238.0,82,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
864,-118.293045,33.93667,5304.0,2.0,2.0,1949.0,76.0,90044.0,109,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
825,-76.577675,39.29701,1050.0,3.0,3.0,1902.0,44.0,21205.0,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
889,-105.01356,39.782223,8750.0,2.0,1.0,1949.0,2.0,80211.0,27,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1285,-105.03615,39.67346,6000.0,3.0,1.0,1955.0,3.0,80219.0,36,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1256,-85.11709,41.151054,10400.0,3.0,2.0,1990.0,2.0,46825.0,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1232,-76.61143,39.321693,1044.0,3.0,2.0,1915.0,54.0,21218.0,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
3663,-81.65211,30.30038,27442.8,5.0,4.0,1937.0,96.0,32207.0,129,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1224,-81.69929,30.317856,6061.0,3.0,1.0,1949.0,29.0,32205.0,62,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1600,-81.36387,28.519194,7174.0,3.0,1.0,1924.0,59.0,32806.0,92,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1377,-81.487236,28.539497,7074.0,3.0,3.0,1990.0,8.0,32835.0,41,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1720,-82.595276,28.016296,6000.0,4.0,2.0,2002.0,159.0,33615.0,192,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1788,-81.25779,28.375422,6403.0,3.0,3.0,2019.0,12.0,32827.0,45,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
