State,Address,City,sale_price,sale_date,Sqr Ft,Longitude,Latitude,Lot Size,Beds,Bath,Year Built,Days On Trulia,Zipcode,listing_date,Days on Market
co,2832 n humboldt st,denver,567500,2019-10-24,1694,-104.96929,39.757698,3260.0,4.0,2.0,1902.0,7.0,80205.0,2019-09-12,42
ca,4537 linden ave,long beach,580005,2019-10-24,1557,-118.18644,33.84093,5162.0,4.0,3.0,1945.0,91.0,90807.0,2019-06-20,126
fl,820 century 21 dr,jacksonville,187000,2019-10-24,1286,-81.570564,30.304367,9817.0,3.0,2.0,1981.0,22.0,32216.0,2019-08-28,57
fl,10515 scott mill rd,jacksonville,386000,2019-10-24,2614,-81.63287,30.185017,68389.2,3.0,3.0,1978.0,180.0,32257.0,2019-03-23,215
fl,3911 w wisconsin ave,tampa,210000,2019-10-25,1267,-82.509674,27.882256,10703.0,3.0,2.0,1958.0,95.0,33616.0,2019-06-17,130
co,1501 s clayton st,denver,1530000,2019-10-25,4809,-104.954994,39.68918,6250.0,6.0,6.0,1942.0,55.0,80210.0,2019-07-26,91
ga,1467 akridge st nw,atlanta,165000,2019-10-25,1546,-84.436005,33.75856,7405.0,3.0,3.0,2006.0,2.0,30314.0,2019-09-19,36
co,1388 s fairfax st,denver,768000,2019-10-25,1922,-104.92735,39.69125,13503.6,3.0,2.0,1954.0,2.0,80222.0,2019-09-25,30
fl,3269 taos ct,orlando,248000,2019-10-25,1337,-81.26259,28.50355,9508.0,4.0,2.0,1978.0,16.0,32829.0,2019-09-03,52
fl,8265 tivoli dr,orlando,410000,2019-10-25,2836,-81.497826,28.444738,5066.0,4.0,4.0,2002.0,26.0,32836.0,2019-08-24,62
ca,6129 lindenhurst ave,los angeles,3400034,2019-10-25,3450,-118.36246,34.066093,6197.0,4.0,5.0,2018.0,180.0,90048.0,2019-03-23,216
ca,3210 spring garden st,riverside,422000,2019-10-25,2285,-117.354065,34.000492,20037.6,4.0,2.0,1927.0,44.0,92501.0,2019-08-06,80
ga,349 ard pl nw,atlanta,101000,2019-10-25,1050,-84.50194,33.7646,9248.0,3.0,2.0,1961.0,53.0,30331.0,2019-07-28,89
fl,8515 n alaska st,tampa,145000,2019-10-25,1356,-82.448616,28.027666,5000.0,4.0,3.0,1946.0,85.0,33604.0,2019-06-27,120
fl,628 rosemere cir,orlando,285000,2019-10-25,1884,-81.5086,28.53338,10879.0,4.0,2.0,1985.0,62.0,32835.0,2019-07-19,98
fl,7439 arble dr,jacksonville,145000,2019-10-25,1100,-81.57229,30.345596,8363.0,3.0,2.0,1962.0,73.0,32211.0,2019-07-08,109
ca,1298 3/4 w sunset blvd,los angeles,793507,2019-10-25,1008,-118.251144,34.071125,2604.0,2.0,1.0,2014.0,3.0,90026.0,2019-09-30,25
ga,2480 ridgewood rd nw,atlanta,750000,2019-10-28,4695,-84.44864,33.82357,9731.0,4.0,5.0,2003.0,180.0,30318.0,2019-03-23,219
